Campaign_ID,Channel,Date,Impressions,Clicks,CTR (%),Conversions,Conversion Rate (%),Cost ($),CAC ($),Revenue ($),ROI (%)
C13402,Email,2024-02-26,43617,30850,70.72930279478186,23507,76.19773095623987,778.45,0.03,709751.4,91074.95
C90803,Google Ads,2024-01-31,48865,38766,79.33285582727923,37767,97.42299953567559,713.3,0.02,1497052.66,209777.0
C54988,Email,2024-01-08,15931,10133,63.60554892975959,241,2.378367709464127,1849.67,7.67,8009.27,333.01
C17618,Facebook,2024-03-08,21097,1209,5.730672607479736,44,3.6393713813068653,1698.42,38.6,1064.31,-37.34
C53743,Email,2024-03-17,24643,20695,83.97922330885038,10742,51.906257550132885,387.75,0.04,255121.45,65695.34
C50655,Facebook,2024-03-21,5750,1412,24.556521739130435,1412,100.0,1216.46,0.86,17393.99,1329.89
C53857,Email,2024-02-06,27702,20328,73.3809833225038,17598,86.57024793388429,836.57,0.05,521585.38,62248.09
C03449,Email,2024-03-02,36450,15594,42.781893004115226,7836,50.25009619084263,1101.48,0.14,322996.57,29223.87
C18517,Facebook,2024-02-28,10287,894,8.690580344123651,455,50.89485458612975,1711.86,3.76,12583.45,635.07
C53838,Google Ads,2024-01-22,28583,16177,56.59657838575377,12189,75.3477158929344,316.21,0.03,536549.29,169581.32
C43147,Facebook,2024-02-18,15889,11092,69.80930203285291,1921,17.318788315903355,258.38,0.13,60892.12,23466.89
C01378,Google Ads,2024-01-22,21943,9628,43.87731850704097,4389,45.58579144162858,1042.96,0.24,181539.59,17306.19
C06439,Email,2024-03-27,25775,17451,67.7051406401552,9566,54.816342902985504,1309.98,0.14,418700.43,31862.35
C38595,Email,2024-03-09,5243,2788,53.17566278847988,745,26.721664275466285,1290.91,1.73,17297.74,1239.96
C01085,Facebook,2024-02-09,21314,7246,33.99643426855588,6899,95.21115097985096,1098.99,0.16,227787.12,20626.95
C28722,Google Ads,2024-03-06,10103,4701,46.53073344551124,102,2.169751116783663,322.34,3.16,4457.84,1282.96
C72445,Facebook,2024-01-23,31396,31090,99.02535354822271,1267,4.0752653586362175,1912.74,1.51,36221.4,1793.69
C23540,Email,2024-01-26,11848,8324,70.25658338960163,3684,44.2575684766939,1931.32,0.52,97769.54,4962.32
C43080,Facebook,2024-01-22,5527,4249,76.87714854351367,2313,54.436337961873384,697.6,0.3,23602.35,3283.36
C01240,Facebook,2024-01-06,30929,12175,39.364350609460374,3498,28.73100616016427,369.96,0.11,104624.48,28179.94
C45232,Email,2024-03-08,48266,7548,15.638337546098702,1210,16.030736618971915,1022.85,0.85,38818.7,3695.15
C48095,Facebook,2024-02-24,40279,28265,70.17304302490132,6849,24.23138156730939,1071.86,0.16,111063.13,10261.72
C38095,Google Ads,2024-02-28,10564,9507,89.99432033320713,5824,61.260124119070156,516.49,0.09,79311.17,15255.8
C58053,Google Ads,2024-03-26,33669,15220,45.204787786985065,12262,80.56504599211564,905.04,0.07,552750.22,60974.67
C00835,Google Ads,2024-01-25,24183,3844,15.895463755530745,3747,97.47658688865765,554.38,0.15,89200.83,15990.2
C38924,Email,2024-01-11,33957,22953,67.59431045145331,6739,29.359996514616824,1936.5,0.29,102146.22,5174.79
C64239,Google Ads,2024-01-18,33911,22281,65.70434372327564,20879,93.70764328351511,915.33,0.04,235202.68,25595.94
C40940,Facebook,2024-02-10,31121,9291,29.85443912470679,611,6.576256592401249,415.1,0.68,24335.68,5762.61
C95679,Google Ads,2024-03-30,35321,5715,16.180176099204438,675,11.811023622047244,1207.41,1.79,11832.69,880.01
C73338,Email,2024-03-11,42188,39152,92.80364084573812,36543,93.33622803432775,236.36,0.01,393396.57,166339.57
C85331,Facebook,2024-03-22,40806,28445,69.70788609518208,9786,34.40323431182984,863.88,0.09,409140.82,47260.84
C26963,Email,2024-01-24,46048,25579,55.54855802640722,17220,67.32084913405528,1139.5,0.07,340707.11,29799.7
